Report Date,"""Total Open Queries (change in 3 business days)""",<10,30-Oct,>30,Total,"""CRA To Site""","""DM To Site""","""System Queries""",Total,<10 days,10-30 days,>30 days,"""Missing Pages""",Unmonitored,Monitored
9-Nov-20,1186,453,355,378,407,323,57,27,407,.,38,23,30,4594,46286
6-Nov-20,1185,603,276,306,494,329,115,50,494,12,31,19,30,4539,46293
2-Nov-20,1266,512,406,348,385,286,57,42,385,.,44,21,42,5139,45543
26-Oct-20,1138,266,451,421,320,232,67,21,320,16,50,16,46,5606,44736
22-Oct-20,1161,463,377,321,323,183,115,25,323,14,27,17,48,5591,44623
5-Oct-20,2024,345,1342,337,362,211,125,26,362,15,35,35,57,6601,43041
28-Sep-20,2418,1657,387,374,264,150,94,20,264,12,60,14,60,7509,41767
25-Sep-20,2341,1755,324,262,580,147,284,149,580,24,48,15,61,7461,41714
21-Sep-20,1218,603,397,218,310,94,116,100,310,8,73,25,58,8149,40866
14-Sep-20,858,325,337,196,320,118,100,102,320,8,69,24,76,8540,40040
7-Sep-20,699,181,309,209,246,109,78,59,246,12,58,24,102,9112,39306
2-Sep-20,650,356,93,201,231,110,80,41,231,13,43,25,101,9316,38855
2-Sep-20,650,356,93,201,227,105,80,42,227,13,43,25,101,9310,38861
2-Sep-20,650,356,93,201,231,110,80,41,231,13,43,25,.,9345,38855
1-Sep-20,629,326,102,201,314,132,144,38,314,13,44,25,.,9548,38663
1-Sep-20,629,326,102,201,315,132,145,38,315,13,44,25,.,9548,38663
1-Sep-20,629,326,102,201,315,132,145,38,315,13,44,25,106,9573,38632
31-Aug-20,674,338,134,202,348,165,137,46,348,15,45,25,105,9543,38570
24-Aug-20,1103,584,414,105,321,139,154,28,321,1,32,31,111,9483,38135
17-Aug-20,1162,107,952,103,253,167,34,52,253,4,73,69,105,10458,36866
